Id,Type,Issue,Scenario,Project,HasFix,Migrated,State,OpenDate,CloseDate,MergeDate
1,BR,ipython/pickleshare#8,1,u1,0,0,closed,2015-08-27T13:07:03Z,2016-01-19T20:51:37Z,
2,PR,ipython/pickleshare#9,1,u1,1,0,closed,2015-08-27T15:44:29Z,2015-08-28T14:50:48Z,2015-08-28T14:50:48Z
3,BR,ipython/ipython#8776,1,d,0,0,closed,2015-08-27T13:36:34Z,2016-01-21T09:12:31Z,
4,BR,numpy/numpy#6467,2,u1,0,0,closed,2015-10-13T14:12:34Z,2015-10-27T20:05:56Z,
5,PR,numpy/numpy#6562,2,u1,1,0,closed,2015-10-26T04:48:16Z,2015-10-27T03:26:57Z,2015-10-27T03:26:57Z
6,PR,numpy/numpy#6208,2,u1,1,0,closed,2015-08-14T18:11:29Z,2015-10-18T20:14:54Z,2015-10-18T20:14:54Z
7,BR,astropy/astropy#4259,2,d,0,0,closed,2015-10-21T20:59:25Z,2015-10-27T18:55:52Z,
8,BR,scipy/scipy#5397,77,d,0,0,closed,2015-10-20T08:43:41Z,2016-03-01T13:29:01Z,
9,BR,numpy/numpy#6467,77,u1,0,0,closed,2015-10-13T14:12:34Z,2015-10-27T20:05:56Z,
10,PR,numpy/numpy#6562,77,u1,1,0,closed,2015-10-26T04:48:16Z,2015-10-27T03:26:57Z,2015-10-27T03:26:57Z
11,PR,numpy/numpy#6208,77,u1,1,0,closed,2015-08-14T18:11:29Z,2015-10-18T20:14:54Z,2015-10-18T20:14:54Z
12,BR,joblib/joblib#105,3,u1,0,0,closed,2014-01-09T08:50:32Z,2014-01-10T11:04:16Z,
13,PR,joblib/joblib#106,3,u1,1,0,closed,2014-01-09T23:07:22Z,2014-01-10T11:04:16Z,2014-01-10T11:04:16Z
14,BR,scikit-learn/scikit-learn#1565,3,d,0,0,closed,2013-01-12T17:00:43Z,2014-01-15T15:30:49Z,
15,PR,scikit-learn/scikit-learn#2756,3,d,1,0,closed,2014-01-15T14:49:34Z,2014-01-15T15:30:49Z,2014-01-15T15:30:49Z
16,BR,matplotlib/matplotlib#4855,4,u1,0,0,closed,2015-08-03T14:11:19Z,2015-12-31T19:02:15Z,
17,PR,matplotlib/matplotlib#5440,4,u1,1,0,closed,2015-11-08T20:56:17Z,2015-12-31T19:02:04Z,2015-12-31T19:02:04Z
18,PR,astropy/astropy#4030,4,d,1,0,closed,2015-08-03T14:41:16Z,2015-08-04T18:56:07Z,2015-08-04T18:56:07Z
19,BR,astropy/astropy#3803,5,d,0,0,closed,2015-05-29T18:45:59Z,2015-06-02T21:53:53Z,
20,PR,numpy/numpy#5921,5,u1,1,0,closed,2015-05-27T15:20:02Z,2015-06-02T21:04:23Z,2015-06-02T21:04:23Z
21,BR,numpy/numpy#2432,6,u1,0,0,closed,2012-10-19T22:26:49Z,2012-12-08T19:57:28Z,
22,PR,numpy/numpy#2747,6,u1,1,0,closed,2012-11-15T18:50:27Z,2012-12-08T19:57:26Z,2012-12-08T19:57:26Z
23,BR,astropy/astropy#465,6,d,0,0,closed,2012-11-07T11:08:56Z,2013-01-23T21:59:44Z,
24,PR,numpy/numpy#5251,7,u1,1,0,closed,2014-10-31T15:07:23Z,2014-10-31T21:19:28Z,2014-10-31T21:19:28Z
25,PR,astropy/astropy#3052,7,d,1,0,closed,2014-10-24T19:19:11Z,2014-10-31T15:08:39Z,2014-10-31T15:08:39Z
26,PR,scipy/scipy#4142,8,u1,1,0,closed,2014-11-13T12:45:14Z,2014-11-13T22:12:31Z,2014-11-13T22:12:31Z
27,BR,scikit-learn/scikit-learn#2986,8,d,0,0,closed,2014-03-21T10:36:53Z,2014-11-15T16:34:07Z,
28,PR,scikit-learn/scikit-learn#3853,8,d,1,0,closed,2014-11-14T12:03:31Z,2014-11-15T16:33:46Z,2014-11-15T16:33:46Z
29,BR,scikit-learn/scikit-learn#4597,9,d,0,0,closed,2015-04-15T12:16:38Z,2015-05-20T15:06:56Z,
30,PR,scikit-learn/scikit-learn#4684,9,d,1,0,closed,2015-05-07T14:44:47Z,2015-05-20T15:06:56Z,2015-05-20T15:06:56Z
31,PR,joblib/joblib#214,9,u1,1,0,closed,2015-05-06T08:47:20Z,2015-05-06T09:30:33Z,2015-05-06T09:30:33Z
32,BR,scikit-learn/scikit-learn#4597,78,d,0,0,closed,2015-04-15T12:16:38Z,2015-05-20T15:06:56Z,
33,PR,scikit-learn/scikit-learn#4684,78,d,1,0,closed,2015-05-07T14:44:47Z,2015-05-20T15:06:56Z,2015-05-20T15:06:56Z
