Id,Type,Issue,Scenario,Project,HasFix,Migrated
1,BR,ipython/pickleshare#8,1,u1,0,0
2,PR,ipython/pickleshare#9,1,u1,1,0
3,BR,ipython/ipython#8776,1,d,0,0
4,BR,numpy/numpy#6467,2,u1,0,0
5,PR,numpy/numpy#6562,2,u1,1,0
6,PR,numpy/numpy#6208,2,u1,1,0
7,BR,astropy/astropy#4259,2,d,0,0
8,BR,scipy/scipy#5397,77,d,0,0
9,BR,numpy/numpy#6467,77,u1,0,0
10,PR,numpy/numpy#6562,77,u1,1,0
11,PR,numpy/numpy#6208,77,u1,1,0
12,BR,joblib/joblib#105,3,u1,0,0
13,PR,joblib/joblib#106,3,u1,1,0
14,BR,scikit-learn/scikit-learn#1565,3,d,0,0
15,PR,scikit-learn/scikit-learn#2756,3,d,1,0
16,BR,matplotlib/matplotlib#4855,4,u1,0,0
17,PR,matplotlib/matplotlib#5440,4,u1,1,0
18,PR,astropy/astropy#4030,4,d,1,0
19,BR,astropy/astropy#3803,5,d,0,0
20,PR,numpy/numpy#5921,5,u1,1,0
21,BR,numpy/numpy#2432,6,u1,0,0
22,PR,numpy/numpy#2747,6,u1,1,0
23,BR,astropy/astropy#465,6,d,0,0
24,PR,numpy/numpy#5251,7,u1,1,0
25,PR,astropy/astropy#3052,7,d,1,0
26,PR,scipy/scipy#4142,8,u1,1,0
27,BR,scikit-learn/scikit-learn#2986,8,d,0,0
28,PR,scikit-learn/scikit-learn#3853,8,d,1,0
29,BR,scikit-learn/scikit-learn#4597,9,d,0,0
30,PR,scikit-learn/scikit-learn#4684,9,d,1,0
31,PR,joblib/joblib#214,9,u1,1,0
32,BR,scikit-learn/scikit-learn#4597,78,d,0,0
33,PR,scikit-learn/scikit-learn#4684,78,d,1,0
34,BR,pandas-dev/pandas#10043,78,u1,0,0
35,PR,pandas-dev/pandas#10070,78,u1,1,0
36,BR,cython/cython#1605,78,u2,0,0
37,PR,cython/cython#1869,78,u2,1,0
38,PR,numpy/numpy#4843,10,u1,0,0
39,PR,numpy/numpy#4847,10,u1,1,0
40,BR,astropy/astropy#2693,10,d,0,0
41,BR,codemirror/codemirror5#3009,11,u1,0,0
42,C,codemirror/codemirror5#b8accafbbf0cb9536f425e3f01216a268109ccc9,11,u1,1,0
43,C,codemirror/codemirror5#198d00f80882e80e0f5cd4f4dff1249541e36ed8,11,u1,1,0
44,C,codemirror/codemirror5#98df975f4b1cae046599b5b7a54d9e64c4900d2e,11,u1,1,0
45,BR,ipython/ipython#7395,11,d,0,0
46,PR,ipython/ipython#7414,11,d,1,0
47,BR,numpy/numpy#4709,12,u1,0,0
48,PR,numpy/numpy#4711,12,u1,0,0
49,BR,astropy/astropy#2483,12,d,0,0
50,PR,astropy/astropy#2927,12,d,1,0
51,BR,scipy/scipy#3025,13,u1,0,0
52,PR,scipy/scipy#3033,13,u1,1,0
53,BR,scikit-learn/scikit-learn#1968,13,d,0,0
54,BR,scikit-learn/scikit-learn#4102,13,d,0,0
55,BR,astropy/astropy#3541,15,d,0,0
56,PR,astropy/astropy-helpers#144,15,u1,1,0
57,BR,codemirror/codemirror5#332,16,u1,0,0
58,BR,codemirror/codemirror5#1279,16,u1,0,0
59,BR,ipython/ipython#3375,16,d,0,0
60,PR,ipython/ipython#3378,16,d,1,0
61,BR,python/cpython#66635,17,u2,0,0
62,BR,numpy/numpy#4681,17,u1,0,0
63,BR,numpy/numpy#5085,17,u1,0,0
64,PR,numpy/numpy#5086,17,u1,1,0
65,BR,astropy/astropy#2960,17,d,0,0
66,PR,joblib/joblib#192,19,u1,0,0
67,PR,joblib/joblib#193,19,u1,0,0
68,PR,joblib/joblib#195,19,u1,0,0
69,BR,scikit-learn/scikit-learn#3596,19,d,0,0
70,PR,scikit-learn/scikit-learn#5355,19,d,1,0
71,BR,pypa/pip#2256,20,u1,0,0
72,PR,numpy/numpy#5556,20,d,1,0
73,BR,pypa/pip#2256,79,u1,0,0
74,PR,scipy/scipy#4512,79,d,1,0
75,PR,numpy/numpy#6936,21,u1,0,0
76,BR,scipy/scipy#5629,21,d,0,0
77,PR,scipy/scipy#5661,21,d,1,0
78,BR,numpy/numpy#4655,22,u1,0,0
79,PR,numpy/numpy#4656,22,u1,1,0
80,BR,scipy/scipy#3596,22,d,0,0
81,PR,scipy/scipy#3647,22,d,1,0
82,PR,numpy/numpy#4602,24,u1,1,0
83,BR,scipy/scipy#3306,24,d,0,0
84,PR,scipy/scipy#3534,24,d,1,0
85,BR,sphinx-doc/sphinx#1822,25,u1,0,0
86,PR,sphinx-doc/sphinx#1892,25,u1,1,0
87,BR,scikit-learn/scikit-learn#4737,25,d,0,0
88,BR,joblib/joblib#38,27,u1,0,0
89,PR,joblib/joblib#40,27,u1,0,0
90,PR,joblib/joblib#43,27,u1,0,0
91,PR,joblib/joblib#44,27,u1,1,0
92,BR,scikit-learn/scikit-learn#1142,27,d,0,0
93,PR,astropy/astropy#4658,32,d,1,0
94,BR,numpy/numpy#7330,32,u1,0,0
95,BR,pandas-dev/pandas#9989,33,u1,0,0
96,BR,pandas-dev/pandas#4738,33,u1,0,0
97,BR,astropy/astropy#1156,33,d,0,0
98,PR,astropy/astropy#3729,33,d,1,0
99,BR,numpy/numpy#5696,34,u1,0,0
100,BR,numpy/numpy#4063,34,u1,0,0
101,PR,numpy/numpy#4276,34,u1,1,0
102,BR,scikit-learn/scikit-learn#4399,34,d,0,0
103,PR,scikit-learn/scikit-learn#4422,34,d,1,0
104,PR,numpy/numpy#3907,35,u1,1,0
105,BR,astropy/astropy#2701,35,d,0,0
106,PR,numpy/numpy#5365,37,u1,0,0
107,PR,numpy/numpy#5316,37,u1,1,0
108,PR,numpy/numpy#5457,37,u1,0,0
109,BR,scipy/scipy#4168,37,d,0,0
110,PR,scipy/scipy#4241,37,d,1,0
111,BR,swig/swig#92,38,u1,0,0
112,C,swig/swig#4e9ee78d3eace3f234a3fd5e08e410bb3ca092a5,38,u1,1,0
113,BR,scipy/scipy#2944,38,d,0,0
114,PR,scipy/scipy#3440,38,d,1,0
115,BR,numpy/numpy#4564,42,u1,0,0
116,PR,astropy/astropy#2251,42,d,1,0
117,BR,ipython/ipython#3361,45,d,0,0
118,PR,ipython/ipython#3515,45,d,0,0
119,BR,codemirror/codemirror5#1123,45,u1,0,0
120,BR,codemirror/codemirror5#1642,45,u1,0,0
121,BR,codemirror/codemirror5#1667,45,u1,0,0
122,BR,codemirror/codemirror5#1686,45,u1,0,0
123,NA,https://issues.chromium.org/issues/41015666 ,45,u2,1,0
124,BR,numpy/numpy#7393,46,u1,0,0
125,PR,numpy/numpy#7397,46,u1,1,0
126,BR,astropy/astropy#4677,46,d,0,0
127,BR,python-pillow/Pillow#990,47,u1,0,0
128,PR,scipy/scipy#4041,47,d,1,0
129,BR,numpy/numpy#2770,49,u1,0,0
130,PR,numpy/numpy#2735,49,u1,0,0
131,PR,numpy/numpy#3162,49,u1,1,0
132,BR,scikit-learn/scikit-learn#1406,49,d,0,0
133,PR,scikit-learn/scikit-learn#1458,49,d,1,0
134,BR,ipython/ipython#6109,50,d,0,0
135,BR,zeromq/pyzmq#613,50,u1,0,0
136,PR,zeromq/pyzmq#618,50,u1,1,0
137,BR,astropy/astropy#6109,51,d,0,0
138,BR,numpy/numpy#6019,51,u1,0,0
139,PR,numpy/numpy#6094,51,u1,1,0
140,BR,scipy/scipy#2930,52,d,0,0
