Scenario,FixStrategy,StructuralConfig,TTF
1,RS1,SC5,90854
2,RS1,SC5,455252
77,RS1,SC5,585796
3,RS5,SC9,31789806
4,RS2,SC6,101691
5,RS1,SC3,353904
6,RS1,SC5,2710110
7,RS2,SC4,589768
8,RS5,SC8,20671013
9,RS2,SC8,3034218
78,RS2,SC14,3034218
10,RS1,SC3,164812
11,RS1,SC9,-878647
12,RS2,SC9,10544891
13,RS1,SC5,15368656
15,RS1,SC3,345705
16,RS2,SC7,395488
17,RS1,SC12,3207765
19,RS2,SC7,35067251
20,RS2,SC2,4083
79,RS2,SC2,978730
21,RS6,SC8,747053
22,RS3,SC9,3863212
24,RS3,SC8,6138398
25,RS1,SC5,4087347
27,RS1,SC5,27785863
32,RS4,SC2,63376
33,RS2,SC7,59837131
34,RS3,SC8,542509
35,RS1,SC3,29898585
37,RS4,SC8,1734169
38,RS6,SC9,14440114
42,RS2,SC2,647083
45,RS1,SC10,7449879
46,RS1,SC5,87057
47,RS2,SC2,681078
49,RS2,SC9,1508265
50,RS1,SC5,10615465
51,RS1,SC5,-51460635
52,RS1,SC5,178545
54,RS1,SC5,1598819
55,RS1,SC3,2728578
56,RS4,SC2,964095
80,RS1,SC1,357611316
58,RS7,SC1,NA
60,RS2,SC9,116542671
62,RS1,SC5,38443298
64,RS5,SC7,33089295
65,RS3,SC9,11302645
66,RS7,SC1,NA
68,RS2,SC9,105015368
69,RS3,SC9,9324032
70,RS4,SC4,866547
81,RS1,SC3,525420
71,RS1,SC4,-2661539
72,RS3,SC13,6701294
74,RS1,SC5,5216478
59,RS6,SC11,5299085
57,RS1,SC5,108929605
61,RS5,SC9,1141845
