pair_id,u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
pair_1,astropy/astropy-helpers#144,embray,embray,closed,3,121,109,12,astropy/astropy#3541,josePhoenix,,closed,,,,,embray
pair_4,astropy/astropy#2286,eteq,mdboom,closed,1,3,2,1,ipython/ipython#5533,eteq,,open,,,,,eteq
pair_7,astropy/astropy#3023,taldcroft,mhvk,closed,4,53,53,0,numpy/numpy#4586,mhvk,charris,closed,4,169,151,18,mhvk
pair_27,astropy/astroquery#481,EricDepagne,keflavich,closed,2,11,7,4,astropy/astropy#3399,EricDepagne,,closed,,,,,EricDepagne
pair_28,chjj/term.js#60,fperez,,open,,,,,ipython/ipython#7782,fperez,,closed,,,,,fperez
pair_29,codemirror/CodeMirror#1123,zohooo,marijnh,closed,2,4,2,2,ipython/ipython#3361,fonnesbeck,,closed,,,,,Carreau
pair_30,codemirror/CodeMirror#1642,jdleesmiller,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
pair_31,codemirror/CodeMirror#1667,ChanceWenHappy,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
pair_32,codemirror/CodeMirror#1686,RomanMinkin,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
pair_33,codemirror/CodeMirror#2228,Carreau,Carreau,closed,1,2,1,1,ipython/ipython#4988,Carreau,,closed,,,,,Carreau
pair_34,codemirror/CodeMirror#2410,jdfreder,marijnh,closed,1,10,8,2,ipython/ipython#5135,samwhitehall,ellisonbg,closed,3,49,47,2,jdfreder
pair_35,codemirror/CodeMirror#3009,rheber,marijnh,closed,3,10,5,5,ipython/ipython#7395,mathieu1,minrk,closed,1,2,1,1,juhasch
pair_36,codemirror/CodeMirror#3022,Carreau,,closed,,,,,ipython/ipython#7395,mathieu1,minrk,closed,1,2,1,1,Carreau
pair_37,codemirror/CodeMirror#332,joshpangell,,closed,,,,,ipython/ipython#3375,fonnesbeck,Carreau,closed,1,10,9,1,minrk
pair_38,ContinuumIO/anaconda-issues#245,xiaoweiz,,closed,,,,,scipy/scipy#4400,xiaoweiz,,closed,,,,,xiaoweiz
pair_39,ContinuumIO/anaconda-issues#650,bamboocza,,open,,,,,scipy/scipy#5882,saulomeirelles,,closed,,,,,pv
pair_40,GalSim-developers/GalSim#586,richardgmcmahon,,closed,,,,,astropy/astropy#2750,richardgmcmahon,embray,closed,3,33,32,1,richardgmcmahon
pair_53,ipython/ipython#6109,khadiwala,,closed,,,,,PyMVPA/PyMVPA#249,octomike,,closed,,,,,octomike
pair_61,jaraco/path.py#102,nedbat,jaraco,closed,2,17,7,10,ipython/ipython#8776,chrisidefix,,closed,,,,,chrisidefix
pair_63,jgm/pandoc#469,cboettig,,closed,,,,,ipython/ipython#4946,jdfreder,minrk,closed,1,2,0,2,jdfreder
pair_64,joblib/joblib#103,venuktan,,open,,,,,scikit-learn/scikit-learn#2713,venuktan,,closed,,,,,arjoly
pair_65,joblib/joblib#105,bthirion,GaelVaroquaux,closed,2,74,67,7,scikit-learn/scikit-learn#1565,amueller,ogrisel,closed,6,107,92,15,ogrisel
